    153441
    0.9360 VVF   -2.025 0.0  75250.000 1.0 10760000.00  26.182s2 2p4   2p3(2PO) 
    0.9362 VVF   -1.983 0.5      0.000 1.5 10681954.00  10.09() 1s     () 6p    
    0.9362 VVF   -2.284 0.5      0.000 0.5 10681818.00  10.09() 1s     () 6p    
    0.9370 VVF   -2.150 1.0  89441.000 1.0 10760000.00  26.182s2 2p4   2p3(2PO) 
    0.9421 VVF   -1.333 1.0  73850.000 1.0 10688000.00  26.202s2 2p2   2s2 2p 4 
    0.9433 VVF   -0.824 0.0      0.000 1.0 10601080.00  11.091s2       1s 3p    
    0.9460 VVF   -1.114 2.0 117353.000 1.0 10688000.00  26.202s2 2p2   2s2 2p 4 
    0.9476 VVF   -0.721 0.0      0.000 1.0 10553000.00  26.202s2 2p2   2s2 2p 4 
    0.9481 VVF   -1.730 0.5      0.000 1.5 10547772.00  10.09() 1s     () 5p    
    0.9481 VVF   -2.032 0.5      0.000 0.5 10547537.00  10.09() 1s     () 5p    
    0.9482 VVF   -0.100 2.0 117353.000 3.0 10664000.00  26.202s2 2p2   2s2 2p 4 
    0.9518 VVF   -1.115 1.0  73850.000 2.0 10580000.00  26.202s2 2p2   2s2 2p 4 
    0.9520 VVF   -0.845 2.0      0.000 3.0 10500000.00  26.182s2 2p4   2p3(2PO) 
    0.9520 VVF   -1.860 2.0      0.000 1.0 10500000.00  26.182s2 2p4   2p3(2PO) 
    0.9543 VVF   -0.852 1.0  73850.000 1.0 10553000.00  26.202s2 2p2   2s2 2p 4 
    0.9548 VVF   -0.374 1.0  73850.000 2.0 10547000.00  26.202s2 2p2   2s2 2p 4 
    0.9558 VVF   -0.640 2.0 117353.000 2.0 10580000.00  26.202s2 2p2   2s2 2p 4 
    0.9570 VVF   -2.771 2.0      0.000 1.0 10450000.00  26.182s2 2p4   2p3(2PO) 
    0.9583 VVF   -2.029 2.0 117353.000 1.0 10553000.00  26.202s2 2p2   2s2 2p 4 
    0.9588 VVF   -0.852 2.0 117353.000 2.0 10547000.00  26.202s2 2p2   2s2 2p 4 
    0.9590 VVF   -1.959 0.0  75250.000 1.0 10500000.00  26.182s2 2p4   2p3(2PO) 
    0.9610 VVF   -2.085 1.0  89441.000 1.0 10500000.00  26.182s2 2p4   2p3(2PO) 
    0.9630 VVF   -2.009 0.0      0.000 1.0 10380000.00  26.202s2 2p2   2s2 2p 4 
    0.9640 VVF   -1.472 0.0  75250.000 1.0 10450000.00  26.182s2 2p4   2p3(2PO) 
    0.9650 VVF   -1.598 1.0  89441.000 1.0 10450000.00  26.182s2 2p4   2p3(2PO) 
    0.9680 VVF   -0.786 2.0      0.000 3.0 10330000.00  26.182s2 2p4   2p3(2DO) 
    0.9680 VVF   -1.535 2.0      0.000 2.0 10330000.00  26.182s2 2p4   2p3(2DO) 
    0.9700 VVF   -2.137 1.0  73850.000 1.0 10380000.00  26.202s2 2p2   2s2 2p 4 
    0.9708 VVF   -1.413 0.5      0.000 1.5 10300749.00  10.09() 1s     () 4p    
    0.9709 VVF   -1.714 0.5      0.000 0.5 10300290.00  10.09() 1s     () 4p    
    0.9740 VVF   -1.917 2.0 117353.000 1.0 10380000.00  26.202s2 2p2   2s2 2p 4 
    0.9770 VVF   -1.062 1.0  89441.000 2.0 10330000.00  26.182s2 2p4   2p3(2DO) 
    0.9810 VVF   -0.569 2.0      0.000 3.0 10190000.00  26.182s2 2p4   2p3(4SO) 
